id	biological_process	cellular_component	molecular_function
gene_388	GO:0015986(ATP synthesis coupled proton transport)	GO:0016021(integral component of membrane);GO:0000276(mitochondrial proton-transporting ATP synthase complex, coupling factor F(o));GO:0045263(proton-transporting ATP synthase complex, coupling factor F(o))	GO:0008289(lipid binding);GO:0046933(proton-transporting ATP synthase activity, rotational mechanism);GO:0015078(proton transmembrane transporter activity)
gene_389	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_390	NA	NA	NA
gene_391	GO:0015986(ATP synthesis coupled proton transport)	GO:0016021(integral component of membrane);GO:0005743(mitochondrial inner membrane);GO:0045263(proton-transporting ATP synthase complex, coupling factor F(o))	GO:0015078(proton transmembrane transporter activity)
gene_392	NA	NA	NA
gene_393	NA	GO:0016021(integral component of membrane)	NA
gene_394	NA	GO:0005833(hemoglobin complex)	GO:0020037(heme binding);GO:0046872(metal ion binding);GO:0019825(oxygen binding);GO:0005344(oxygen carrier activity)
gene_395	NA	NA	NA
gene_396	NA	NA	NA
gene_397	NA	NA	NA
gene_398	NA	NA	NA
gene_399	NA	NA	NA
gene_400	NA	NA	NA
gene_401	GO:0006412(translation)	GO:0015935(small ribosomal subunit)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)
gene_402	GO:0006412(translation);GO:0072717(cellular response to actinomycin D);GO:0071157(negative regulation of cell cycle arrest);GO:0000122(negative regulation of transcription by RNA polymerase II);GO:1904667(negative regulation of ubiquitin protein ligase activity);GO:2000059(negative regulation of ubiquitin-dependent protein catabolic process);GO:0071158(positive regulation of cell cycle arrest);GO:0008284(positive regulation of cell population proliferation);GO:0010628(positive regulation of gene expression);GO:1901798(positive regulation of signal transduction by p53 class mediator);GO:0050821(protein stabilization);GO:0032986(protein-DNA complex disassembly)	GO:0022625(cytosolic large ribosomal subunit);GO:0005730(nucleolus);GO:0014069(postsynaptic density);GO:0005737(cytoplasm);GO:0022626(cytosolic ribosome);GO:0005654(nucleoplasm);GO:0032991(protein-containing complex);GO:0005840(ribosome);GO:0098556(cytoplasmic side of rough endoplasmic reticulum membrane);GO:0015934(large ribosomal subunit)	GO:0003735(structural constituent of ribosome);GO:0070180(large ribosomal subunit rRNA binding);GO:0001223(transcription coactivator binding);GO:1990948(ubiquitin ligase inhibitor activity);GO:0031625(ubiquitin protein ligase binding)
gene_403	NA	NA	NA
gene_404	NA	NA	NA
gene_405	NA	NA	GO:0004252(serine-type endopeptidase activity)
gene_406	NA	NA	NA
gene_407	NA	NA	NA
gene_408	NA	NA	NA
gene_409	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_410	NA	NA	NA
gene_411	NA	NA	NA
gene_412	GO:0006879(cellular iron ion homeostasis)	GO:0005623(cell);GO:0005576(extracellular region)	GO:0015232(heme transporter activity);GO:0046872(metal ion binding)
gene_413	NA	NA	NA
gene_414	GO:0006707(cholesterol catabolic process)	GO:0016021(integral component of membrane)	GO:0033781(cholesterol 24-hydroxylase activity);GO:0020037(heme binding);GO:0005506(iron ion binding)
gene_415	NA	NA	NA
gene_416	NA	GO:0005615(extracellular space)	NA
gene_417	NA	NA	NA
gene_418	NA	NA	NA
gene_419	NA	NA	NA
gene_420	GO:0043009(chordate embryonic development);GO:0001947(heart looping)	NA	GO:0008289(lipid binding)
gene_421	NA	NA	NA
gene_422	NA	NA	NA
gene_423	NA	GO:0005615(extracellular space)	NA
gene_424	GO:0009058(biosynthetic process);GO:0006559(L-phenylalanine catabolic process)	NA	GO:0004838(L-tyrosine:2-oxoglutarate aminotransferase activity);GO:0030170(pyridoxal phosphate binding)
gene_425	NA	NA	NA
gene_426	NA	NA	NA
gene_427	NA	NA	NA
gene_428	NA	NA	GO:0016787(hydrolase activity);GO:0046872(metal ion binding);GO:0003676(nucleic acid binding)
gene_429	NA	GO:0005665(RNA polymerase II, core complex)	GO:0003677(DNA binding);GO:0046983(protein dimerization activity);GO:0001055(RNA polymerase II activity)
gene_430	NA	NA	NA
gene_431	NA	NA	NA
gene_432	NA	NA	NA
gene_433	GO:0006094(gluconeogenesis);GO:0006096(glycolytic process)	NA	GO:0004347(glucose-6-phosphate isomerase activity)
gene_434	NA	NA	NA
gene_435	NA	NA	NA
gene_436	GO:0006956(complement activation)	GO:0005576(extracellular region)	GO:0004252(serine-type endopeptidase activity)
gene_437	NA	NA	NA
gene_438	GO:0006122(mitochondrial electron transport, ubiquinol to cytochrome c)	GO:0005750(mitochondrial respiratory chain complex III);GO:0016021(integral component of membrane)	NA
gene_439	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_440	NA	NA	GO:0030246(carbohydrate binding)
gene_441	GO:0015986(ATP synthesis coupled proton transport)	GO:0045261(proton-transporting ATP synthase complex, catalytic core F(1))	GO:0005524(ATP binding);GO:0046933(proton-transporting ATP synthase activity, rotational mechanism)
gene_442	NA	NA	NA
gene_443	NA	GO:0016021(integral component of membrane);GO:0005743(mitochondrial inner membrane);GO:0070469(respirasome)	GO:0005507(copper ion binding);GO:0004129(cytochrome-c oxidase activity)
gene_444	NA	NA	NA
gene_445	NA	NA	NA
gene_446	NA	GO:0005739(mitochondrion)	GO:0008137(NADH dehydrogenase (ubiquinone) activity)
gene_447	GO:0007165(signal transduction)	NA	NA
gene_448	GO:0006412(translation);GO:0007420(brain development);GO:1990403(embryonic brain development)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome);GO:0045182(translation regulator activity)
gene_449	NA	NA	NA
gene_450	NA	NA	NA
gene_451	GO:0006289(nucleotide-excision repair);GO:0006355(regulation of transcription, DNA-templated)	GO:0000439(transcription factor TFIIH core complex)	NA
gene_452	NA	NA	NA
gene_453	GO:0009072(aromatic amino acid family metabolic process)	NA	GO:0003868(4-hydroxyphenylpyruvate dioxygenase activity);GO:0004462(lactoylglutathione lyase activity);GO:0046872(metal ion binding)
gene_454	NA	NA	NA
gene_455	NA	NA	NA
gene_456	NA	NA	NA
gene_457	NA	NA	NA
gene_458	GO:0006003(fructose 2,6-bisphosphate metabolic process);GO:0006000(fructose metabolic process)	NA	GO:0003873(6-phosphofructo-2-kinase activity);GO:0005524(ATP binding)
gene_459	GO:0034354('de novo' NAD biosynthetic process from tryptophan);GO:0043420(anthranilate metabolic process);GO:0019805(quinolinate biosynthetic process);GO:0006569(tryptophan catabolic process)	GO:0005737(cytoplasm)	GO:0000334(3-hydroxyanthranilate 3,4-dioxygenase activity);GO:0008198(ferrous iron binding)
gene_460	GO:0006412(translation)	GO:0015935(small ribosomal subunit)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)
gene_461	NA	GO:0016021(integral component of membrane)	GO:0004129(cytochrome-c oxidase activity)
gene_462	GO:0051726(regulation of cell cycle);GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_463	NA	NA	NA
gene_464	NA	NA	GO:0030246(carbohydrate binding)
gene_465	NA	NA	NA
gene_466	NA	GO:0016021(integral component of membrane)	GO:0030246(carbohydrate binding)
gene_467	GO:0007596(blood coagulation)	GO:0005576(extracellular region)	GO:0005509(calcium ion binding);GO:0004252(serine-type endopeptidase activity)
gene_468	NA	NA	NA
gene_469	NA	NA	NA
gene_470	NA	NA	GO:0004252(serine-type endopeptidase activity)
gene_471	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)
gene_472	NA	NA	NA
gene_473	NA	NA	NA
gene_474	GO:0055114(oxidation-reduction process)	GO:0005743(mitochondrial inner membrane);GO:0070469(respirasome)	NA
gene_475	NA	NA	GO:0005497(androgen binding);GO:0005496(steroid binding)
gene_476	NA	GO:0005854(nascent polypeptide-associated complex)	NA
gene_477	NA	NA	NA
gene_478	NA	GO:0016021(integral component of membrane);GO:0031966(mitochondrial membrane);GO:0070469(respirasome)	GO:0008137(NADH dehydrogenase (ubiquinone) activity)
gene_479	GO:0042157(lipoprotein metabolic process)	GO:0005576(extracellular region);GO:0016021(integral component of membrane)	NA
gene_480	GO:0001944(vasculature development)	NA	GO:0008270(zinc ion binding)
gene_481	NA	NA	NA
gene_482	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_483	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_484	NA	NA	NA
gene_485	GO:0006457(protein folding);GO:0046677(response to antibiotic);GO:0009409(response to cold);GO:0009408(response to heat)	GO:0005737(cytoplasm);GO:0005634(nucleus)	GO:0005524(ATP binding);GO:0051082(unfolded protein binding)
gene_486	NA	NA	NA
gene_487	NA	NA	NA
gene_488	NA	NA	NA
gene_489	NA	NA	NA
gene_490	NA	NA	NA
gene_491	NA	NA	NA
gene_492	NA	NA	NA
gene_493	GO:0006953(acute-phase response);GO:1990266(neutrophil migration);GO:0009617(response to bacterium)	GO:0034364(high-density lipoprotein particle)	NA
gene_494	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_495	GO:0001732(formation of cytoplasmic translation initiation complex)	GO:0016282(eukaryotic 43S preinitiation complex);GO:0033290(eukaryotic 48S preinitiation complex);GO:0005852(eukaryotic translation initiation factor 3 complex)	GO:0003743(translation initiation factor activity);GO:0031369(translation initiation factor binding)
gene_496	NA	NA	GO:0004869(cysteine-type endopeptidase inhibitor activity)
gene_497	GO:0030168(platelet activation);GO:0051258(protein polymerization);GO:0072378(blood coagulation, fibrin clot formation)	GO:0005577(fibrinogen complex)	GO:0005102(signaling receptor binding)
gene_498	NA	NA	GO:0000062(fatty-acyl-CoA binding)
gene_499	NA	NA	NA
gene_500	NA	NA	NA
gene_501	NA	NA	NA
gene_502	NA	NA	GO:0005524(ATP binding);GO:0004674(protein serine/threonine kinase activity)
gene_503	NA	NA	NA
gene_504	GO:0006955(immune response)	NA	GO:0030247(polysaccharide binding);GO:0005044(scavenger receptor activity)
gene_505	GO:0072378(blood coagulation, fibrin clot formation);GO:0030168(platelet activation);GO:0051258(protein polymerization)	GO:0005577(fibrinogen complex)	GO:0005102(signaling receptor binding)
gene_506	NA	NA	NA
gene_507	NA	NA	NA
gene_508	NA	NA	NA
gene_509	NA	NA	NA
gene_510	NA	NA	NA
gene_511	GO:0007596(blood coagulation);GO:0042730(fibrinolysis);GO:0048771(tissue remodeling)	GO:0005576(extracellular region)	GO:0004252(serine-type endopeptidase activity)
gene_512	NA	NA	GO:0030246(carbohydrate binding)
gene_513	NA	NA	NA
gene_514	NA	NA	NA
gene_515	NA	NA	NA
gene_516	NA	NA	NA
gene_517	NA	NA	NA
gene_518	GO:0006096(glycolytic process)	NA	GO:0004332(fructose-bisphosphate aldolase activity)
gene_519	NA	NA	GO:0016491(oxidoreductase activity)
gene_520	NA	NA	NA
gene_521	NA	NA	NA
gene_522	NA	NA	NA
gene_523	NA	NA	NA
gene_524	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_525	NA	NA	NA
gene_526	NA	NA	NA
gene_527	NA	GO:0005739(mitochondrion)	NA
gene_528	GO:0005975(carbohydrate metabolic process)	NA	GO:0004556(alpha-amylase activity);GO:0103025(alpha-amylase activity (releasing maltohexaose));GO:0043169(cation binding)
gene_529	NA	NA	GO:0004252(serine-type endopeptidase activity)
gene_530	NA	NA	NA
gene_531	NA	NA	NA
gene_532	GO:0030154(cell differentiation);GO:0007275(multicellular organism development);GO:0001708(cell fate specification);GO:0008283(cell population proliferation);GO:0031017(exocrine pancreas development)	NA	NA
gene_533	NA	NA	NA
gene_534	NA	NA	NA
gene_535	NA	NA	NA
gene_536	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_537	NA	NA	NA
gene_538	NA	NA	NA
gene_539	NA	NA	GO:0008270(zinc ion binding)
gene_540	NA	NA	NA
gene_541	NA	NA	NA
gene_542	GO:0042157(lipoprotein metabolic process)	GO:0005576(extracellular region);GO:0016021(integral component of membrane)	NA
gene_543	NA	NA	GO:0003746(translation elongation factor activity)
gene_544	NA	GO:0016021(integral component of membrane);GO:0005739(mitochondrion)	GO:0008137(NADH dehydrogenase (ubiquinone) activity)
gene_545	NA	NA	NA
gene_546	GO:0009058(biosynthetic process);GO:0006520(cellular amino acid metabolic process)	NA	GO:0004069(L-aspartate:2-oxoglutarate aminotransferase activity);GO:0030170(pyridoxal phosphate binding)
gene_547	NA	NA	NA
gene_548	NA	GO:0016021(integral component of membrane);GO:0005746(mitochondrial respirasome)	GO:0004129(cytochrome-c oxidase activity)
gene_549	NA	NA	NA
gene_550	NA	NA	NA
gene_551	NA	NA	NA
gene_552	NA	GO:0016020(membrane)	GO:0005044(scavenger receptor activity);GO:0004252(serine-type endopeptidase activity)
gene_553	NA	GO:0005615(extracellular space)	NA
gene_554	GO:0043009(chordate embryonic development);GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_555	NA	NA	NA
gene_556	GO:0007596(blood coagulation);GO:0042730(fibrinolysis);GO:0048771(tissue remodeling)	GO:0005576(extracellular region)	GO:0004252(serine-type endopeptidase activity)
gene_557	GO:0000028(ribosomal small subunit assembly);GO:0006412(translation)	GO:0022627(cytosolic small ribosomal subunit);GO:0005634(nucleus);GO:0005886(plasma membrane)	GO:0043236(laminin binding);GO:0005055(laminin receptor activity);GO:0003735(structural constituent of ribosome)
gene_558	NA	NA	NA
gene_559	NA	NA	NA
gene_560	NA	NA	NA
gene_561	NA	NA	NA
gene_562	NA	NA	NA
gene_563	GO:0006915(apoptotic process);GO:0043009(chordate embryonic development);GO:0048821(erythrocyte development);GO:0042593(glucose homeostasis);GO:0042541(hemoglobin biosynthetic process);GO:0045088(regulation of innate immune response);GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_564	NA	NA	NA
gene_565	NA	NA	NA
gene_566	NA	NA	NA
gene_567	NA	NA	GO:0003676(nucleic acid binding)
gene_568	GO:0043009(chordate embryonic development);GO:0030218(erythrocyte differentiation);GO:0006412(translation)	GO:0015935(small ribosomal subunit)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)
gene_569	GO:0006457(protein folding);GO:0046677(response to antibiotic);GO:0009409(response to cold);GO:0009408(response to heat)	GO:0005737(cytoplasm);GO:0005634(nucleus)	GO:0005524(ATP binding);GO:0051082(unfolded protein binding)
gene_570	NA	NA	NA
gene_571	GO:0043009(chordate embryonic development);GO:0031016(pancreas development);GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_572	NA	NA	NA
gene_573	NA	NA	NA
gene_574	NA	NA	NA
gene_575	GO:0006412(translation)	GO:0015934(large ribosomal subunit)	GO:0003735(structural constituent of ribosome)
gene_576	GO:0006351(transcription, DNA-templated)	NA	GO:0003677(DNA binding);GO:0003899(DNA-directed 5'-3' RNA polymerase activity);GO:0008270(zinc ion binding)
gene_577	NA	NA	NA
gene_578	GO:0030168(platelet activation);GO:0051258(protein polymerization)	GO:0005577(fibrinogen complex)	GO:0005102(signaling receptor binding)
gene_579	NA	NA	NA
gene_580	NA	NA	NA
gene_581	NA	NA	NA
gene_582	GO:0006508(proteolysis)	GO:0005576(extracellular region)	NA
gene_583	NA	GO:0016020(membrane)	GO:0005044(scavenger receptor activity);GO:0004252(serine-type endopeptidase activity)
gene_584	NA	NA	GO:0004222(metalloendopeptidase activity);GO:0008270(zinc ion binding)
gene_585	NA	NA	NA
gene_586	NA	NA	NA
gene_587	NA	NA	NA
gene_588	NA	NA	NA
gene_589	GO:0022900(electron transport chain);GO:0006099(tricarboxylic acid cycle)	GO:0005743(mitochondrial inner membrane)	GO:0050660(flavin adenine dinucleotide binding);GO:0008177(succinate dehydrogenase (ubiquinone) activity)
gene_590	NA	NA	GO:0004252(serine-type endopeptidase activity)
gene_591	NA	NA	NA
gene_592	GO:0001971(negative regulation of activation of membrane attack complex)	NA	NA
gene_593	NA	NA	GO:0005525(GTP binding);GO:0003924(GTPase activity);GO:0003746(translation elongation factor activity)
gene_594	NA	NA	NA
gene_595	NA	NA	NA
gene_596	NA	GO:0016021(integral component of membrane);GO:0005751(mitochondrial respiratory chain complex IV)	NA
gene_597	NA	NA	NA
gene_598	NA	NA	NA
gene_599	NA	NA	NA
gene_600	GO:0001732(formation of cytoplasmic translation initiation complex)	GO:0016282(eukaryotic 43S preinitiation complex);GO:0033290(eukaryotic 48S preinitiation complex);GO:0005852(eukaryotic translation initiation factor 3 complex)	GO:0003743(translation initiation factor activity);GO:0031369(translation initiation factor binding)
gene_601	GO:0046849(bone remodeling)	GO:0005576(extracellular region)	NA
gene_602	NA	NA	NA
gene_603	NA	NA	NA
gene_604	NA	NA	NA
gene_605	NA	NA	NA
gene_606	NA	NA	NA
gene_607	NA	NA	NA
gene_608	NA	NA	NA
gene_609	NA	NA	GO:0004462(lactoylglutathione lyase activity);GO:0046872(metal ion binding)
gene_610	GO:0008016(regulation of heart contraction)	NA	GO:0005509(calcium ion binding)
gene_611	NA	GO:0016021(integral component of membrane)	GO:0016747(transferase activity, transferring acyl groups other than amino-acyl groups)
gene_612	NA	GO:0005747(mitochondrial respiratory chain complex I)	NA
gene_613	GO:0006351(transcription, DNA-templated)	NA	GO:0003677(DNA binding);GO:0003899(DNA-directed 5'-3' RNA polymerase activity);GO:0008270(zinc ion binding)
gene_614	NA	NA	NA
gene_615	NA	GO:0005615(extracellular space)	GO:0004869(cysteine-type endopeptidase inhibitor activity)
gene_616	NA	NA	NA
gene_617	GO:0030154(cell differentiation);GO:0007275(multicellular organism development)	NA	NA
gene_618	NA	NA	NA
gene_619	GO:0007154(cell communication)	GO:0005922(connexin complex);GO:0016021(integral component of membrane)	NA
gene_620	NA	NA	NA
gene_621	GO:0001666(response to hypoxia)	GO:0016021(integral component of membrane)	GO:0004129(cytochrome-c oxidase activity)
gene_622	NA	NA	NA
gene_623	GO:0043009(chordate embryonic development);GO:0055113(epiboly involved in gastrulation with mouth forming second);GO:0000280(nuclear division)	NA	NA
gene_624	GO:0001732(formation of cytoplasmic translation initiation complex)	GO:0016282(eukaryotic 43S preinitiation complex);GO:0033290(eukaryotic 48S preinitiation complex);GO:0071541(eukaryotic translation initiation factor 3 complex, eIF3m)	GO:0003743(translation initiation factor activity)
gene_625	NA	NA	NA
gene_626	NA	GO:0005840(ribosome)	NA
gene_627	GO:0006450(regulation of translational fidelity);GO:0006412(translation)	GO:0022627(cytosolic small ribosomal subunit);GO:0015935(small ribosomal subunit)	GO:0003729(mRNA binding);GO:0003735(structural constituent of ribosome);GO:0003723(RNA binding)
gene_628	NA	NA	NA
gene_629	GO:0006811(ion transport);GO:0055072(iron ion homeostasis)	GO:0005615(extracellular space)	GO:0046872(metal ion binding)
gene_630	NA	GO:0005853(eukaryotic translation elongation factor 1 complex)	GO:0003746(translation elongation factor activity)
gene_631	NA	NA	NA
gene_632	NA	NA	GO:0004867(serine-type endopeptidase inhibitor activity)
gene_633	NA	NA	NA
gene_634	NA	NA	NA
gene_635	GO:0006122(mitochondrial electron transport, ubiquinol to cytochrome c);GO:0001525(angiogenesis)	GO:0005750(mitochondrial respiratory chain complex III)	NA
gene_636	GO:0006807(nitrogen compound metabolic process)	NA	GO:0016811(hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides)
gene_637	GO:0006825(copper ion transport)	GO:0005758(mitochondrial intermembrane space)	GO:0016531(copper chaperone activity)
gene_638	NA	NA	NA
gene_639	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_640	NA	NA	GO:0003746(translation elongation factor activity)
gene_641	NA	NA	NA
gene_642	GO:0043009(chordate embryonic development);GO:0030097(hemopoiesis);GO:0051726(regulation of cell cycle);GO:0042274(ribosomal small subunit biogenesis);GO:0006364(rRNA processing);GO:0006412(translation)	GO:0022627(cytosolic small ribosomal subunit);GO:0032040(small-subunit processome)	GO:0003735(structural constituent of ribosome)
gene_643	NA	NA	NA
gene_644	NA	NA	NA
gene_645	NA	NA	NA
gene_646	NA	NA	NA
gene_647	GO:0006412(translation);GO:0043009(chordate embryonic development);GO:0030218(erythrocyte differentiation);GO:0051726(regulation of cell cycle)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_648	GO:0006457(protein folding)	GO:0005832(chaperonin-containing T-complex);GO:0005737(cytoplasm)	GO:0005524(ATP binding);GO:0051082(unfolded protein binding)
gene_649	NA	NA	NA
gene_650	NA	NA	NA
gene_651	GO:0031047(gene silencing by RNA)	GO:0005737(cytoplasm);GO:0016442(RISC complex)	GO:0004521(endoribonuclease activity)
gene_652	GO:0048568(embryonic organ development);GO:0021522(spinal cord motor neuron differentiation)	GO:0005743(mitochondrial inner membrane)	GO:0004129(cytochrome-c oxidase activity)
gene_653	GO:0071391(cellular response to estrogen stimulus);GO:2000266(regulation of blood coagulation, intrinsic pathway)	GO:0005615(extracellular space)	GO:0008201(heparin binding);GO:0004867(serine-type endopeptidase inhibitor activity)
gene_654	NA	NA	NA
gene_655	GO:0006094(gluconeogenesis)	NA	GO:0005525(GTP binding);GO:0004613(phosphoenolpyruvate carboxykinase (GTP) activity)
gene_656	NA	NA	NA
gene_657	NA	GO:0016021(integral component of membrane)	GO:0020037(heme binding);GO:0005506(iron ion binding);GO:0016712(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen)
gene_658	NA	NA	GO:0004519(endonuclease activity);GO:0003676(nucleic acid binding)
gene_659	NA	NA	NA
gene_660	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_661	NA	GO:0016021(integral component of membrane)	GO:0004129(cytochrome-c oxidase activity)
gene_662	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_663	NA	NA	NA
gene_664	NA	NA	NA
gene_665	NA	GO:0005576(extracellular region)	GO:0004252(serine-type endopeptidase activity)
gene_666	NA	NA	NA
gene_667	NA	NA	NA
gene_668	NA	NA	NA
gene_669	NA	NA	NA
gene_670	GO:0043009(chordate embryonic development);GO:0030218(erythrocyte differentiation);GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_671	NA	NA	NA
gene_672	NA	GO:0022625(cytosolic large ribosomal subunit)	GO:0003723(RNA binding);GO:0003735(structural constituent of ribosome)
gene_673	GO:0000398(mRNA splicing, via spliceosome);GO:0045893(positive regulation of transcription, DNA-templated);GO:0048863(stem cell differentiation);GO:0048546(digestive tract morphogenesis);GO:0048703(embryonic viscerocranium morphogenesis);GO:0031017(exocrine pancreas development);GO:0060047(heart contraction);GO:0001947(heart looping);GO:0014032(neural crest cell development);GO:0035138(pectoral fin morphogenesis);GO:0006355(regulation of transcription, DNA-templated);GO:0042574(retinal metabolic process);GO:0042572(retinol metabolic process)	GO:0016363(nuclear matrix);GO:0016607(nuclear speck);GO:0005654(nucleoplasm);GO:0005689(U12-type spliceosomal complex);GO:0005686(U2 snRNP);GO:0071005(U2-type precatalytic spliceosome);GO:0005634(nucleus);GO:0000123(histone acetyltransferase complex)	GO:0003700(DNA-binding transcription factor activity);GO:0003723(RNA binding);GO:0008270(zinc ion binding);GO:0003677(DNA binding);GO:0004402(histone acetyltransferase activity);GO:0004745(retinol dehydrogenase activity);GO:0003713(transcription coactivator activity)
gene_674	GO:0042157(lipoprotein metabolic process)	GO:0005576(extracellular region);GO:0016021(integral component of membrane)	NA
gene_675	GO:0042773(ATP synthesis coupled electron transport)	GO:0005743(mitochondrial inner membrane)	GO:0008137(NADH dehydrogenase (ubiquinone) activity)
gene_676	NA	NA	NA
gene_677	NA	NA	NA
gene_678	NA	NA	GO:0005096(GTPase activator activity);GO:0046872(metal ion binding)
gene_679	GO:0006412(translation)	GO:0015934(large ribosomal subunit)	GO:0003735(structural constituent of ribosome)
gene_680	NA	NA	NA
gene_681	NA	NA	NA
gene_682	GO:0006414(translational elongation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_683	GO:0035162(embryonic hemopoiesis)	GO:0044666(MLL3/4 complex);GO:0048188(Set1C/COMPASS complex)	NA
gene_684	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_685	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_686	NA	NA	NA
gene_687	GO:0006788(heme oxidation)	GO:0016021(integral component of membrane)	GO:0004392(heme oxygenase (decyclizing) activity);GO:0046872(metal ion binding)
gene_688	GO:0006355(regulation of transcription, DNA-templated)	NA	NA
gene_689	NA	NA	NA
gene_690	NA	NA	NA
gene_691	NA	NA	NA
gene_692	NA	NA	NA
gene_693	NA	NA	NA
gene_694	GO:0006958(complement activation, classical pathway)	NA	GO:0005509(calcium ion binding);GO:0004252(serine-type endopeptidase activity)
gene_695	NA	NA	NA
gene_696	NA	NA	NA
gene_697	NA	NA	NA
gene_698	NA	NA	NA
gene_699	NA	NA	NA
gene_700	GO:0006955(immune response)	NA	GO:0030247(polysaccharide binding);GO:0005044(scavenger receptor activity)
gene_701	NA	NA	NA
gene_702	NA	NA	NA
gene_703	GO:0022904(respiratory electron transport chain)	NA	NA
gene_704	NA	NA	NA
gene_705	NA	NA	NA
gene_706	GO:0030154(cell differentiation);GO:0007275(multicellular organism development);GO:0001708(cell fate specification);GO:0008283(cell population proliferation);GO:0031017(exocrine pancreas development)	NA	NA
gene_707	GO:0001525(angiogenesis);GO:0060027(convergent extension involved in gastrulation);GO:0030178(negative regulation of Wnt signaling pathway);GO:2000543(positive regulation of gastrulation);GO:0051302(regulation of cell division);GO:2000114(regulation of establishment of cell polarity);GO:0032880(regulation of protein localization)	GO:0005737(cytoplasm)	NA
gene_708	NA	NA	NA
gene_709	NA	NA	NA
gene_710	NA	NA	NA
gene_711	NA	NA	NA
gene_712	NA	NA	NA
gene_713	NA	NA	NA
gene_714	NA	NA	NA
gene_715	NA	NA	GO:0005509(calcium ion binding)
gene_716	GO:0007596(blood coagulation)	GO:0005576(extracellular region)	GO:0005509(calcium ion binding);GO:0004252(serine-type endopeptidase activity)
gene_717	NA	GO:0005615(extracellular space)	GO:0004866(endopeptidase inhibitor activity)
gene_718	NA	NA	NA
gene_719	GO:0006120(mitochondrial electron transport, NADH to ubiquinone)	GO:0016021(integral component of membrane);GO:0031966(mitochondrial membrane);GO:0070469(respirasome)	GO:0008137(NADH dehydrogenase (ubiquinone) activity)
gene_720	GO:0006457(protein folding)	NA	GO:0003755(peptidyl-prolyl cis-trans isomerase activity)
gene_721	NA	NA	NA
gene_722	NA	NA	NA
gene_723	GO:0015986(ATP synthesis coupled proton transport)	GO:0000276(mitochondrial proton-transporting ATP synthase complex, coupling factor F(o))	GO:0015078(proton transmembrane transporter activity)
gene_724	NA	NA	NA
gene_725	NA	NA	GO:0016491(oxidoreductase activity)
gene_726	NA	GO:0005615(extracellular space)	NA
gene_727	NA	NA	NA
gene_728	NA	NA	NA
gene_729	NA	NA	NA
gene_730	NA	NA	NA
gene_731	GO:0071391(cellular response to estrogen stimulus)	NA	GO:0003723(RNA binding)
gene_732	GO:0006081(cellular aldehyde metabolic process)	GO:0016021(integral component of membrane)	GO:0016620(oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor)
gene_733	NA	NA	NA
gene_734	NA	NA	GO:0008121(ubiquinol-cytochrome-c reductase activity)
gene_735	NA	NA	NA
gene_736	NA	NA	NA
gene_737	NA	NA	GO:0008171(O-methyltransferase activity)
gene_738	NA	NA	NA
gene_739	GO:0001568(blood vessel development);GO:0050900(leukocyte migration);GO:0006457(protein folding)	NA	GO:0005524(ATP binding);GO:0051082(unfolded protein binding)
